,CUIs,concepts,tw_phrases
50,C0038999,Swelling,swelling
51,C0020175,Hunger,hungry
52,C0002957,Anger,angry
53,C0037320,Night Terrors,nightmares
54,C0086769,Panic Attacks,panic attack
55,C0700590,Increased sweating,make me sweat more
56,C0393761,Middle insomnia,insomniac
57,C0027497,Nausea,nauseous
58,C0344315,Depressed mood,depressed
59,C0087169,Withdrawal Symptoms,withdrawal symptoms
60,C0235169,Excitability,to the ceiling
61,C0020604,Hypochondriasis,consistently unwell
62,C0041671,Attention Deficit Disorder,attention deficit disorder
63,C0012833,Dizziness,dizzy
64,C0085633,Mood swings,mood swings
65,C0234458,Abnormal dreams,#crazy
66,C0011581,Depressive disorder,need prozac
67,C2830004,Somnolence,groggy
68,C0001807,Aggressive behavior,threatened to hurt me
69,C0152031,Joint swelling,Joint was super swollen
70,C0043096,Body Weight decreased,weight loss
71,C0022107,Irritable Mood,grumpy
72,C0455769,Energy increased,energy
73,C0015672,Fatigue,chronic fatigue
74,C0039971,Thirst,thirsty as fuck
75,C0043094,Weight Gain,ballooning
76,C0003467,Anxiety,anxiety
77,C0042109,Urticaria,hives
78,C0424295,Hyperactive behavior,type to much
79,C0003467,Anxiety,anxiety
80,C0018681,Headache,headaches
81,C0392674,Exhaustion,exhausted
82,C0455769,Energy increased,gave me energy
83,C0043012,Wakefulness,still not tired
84,C0151825,Bone pain,bone pain
85,C0235234,Dry throat,dry mouth
86,C0853348,Arthropod bite,bug bites
87,C2939186,Disturbance in mood,get into a mood
88,C0027497,Nausea,makes me a little less nauseous
89,C0162298,Joint stiffness,joint pain
90,C0028084,Nightmares,"intense, emotionally-charged nightmares"
91,C0917801,Sleeplessness,insomnia
92,C0015672,Fatigue,making myself get out of bed
93,C0235146,Euphoric mood,feel like I have super powers
94,C0233514,Abnormal behavior,before i do anything else stupid
95,C0013144,Drowsiness,can't even stay awake
96,C2830004,Somnolence,sleepy
97,C0235146,Euphoric mood,UP UP UP phase
98,C0087169,Withdrawal Symptoms,cigarette withdrawal
99,C0853348,Arthropod bite,mosquitoes
100,C0041582,Ulcer,ulcers
101,C0005586,Bipolar Disorder,#bipolar
102,C0542101,Nasal burning,hurts your nostrils
103,C2939186,Disturbance in mood,had me in my feelings
104,C0087169,Withdrawal Symptoms,withdrawal
105,C0392674,Exhaustion,exhausted
106,C0015672,Fatigue,my body hates me
107,C0018681,Headache,headache free
108,C0037383,Sneezing,sneezing fits
109,C0042963,Vomiting,puking
110,C2830004,Somnolence,drowsy
111,C0232459,Abnormal digestive tract function,heartburn
112,C0392674,Exhaustion,still tired
113,C0233479,Elevated mood,feel like this
114,C0006325,Bruxism,clench my jaw.
115,C2830004,Somnolence,constantly being so sleepy
116,C0541854,Daytime sleepiness,ready for a nap
117,C0240735,Personality change,changed my personality
118,C0087169,Withdrawal Symptoms,withdrawals
119,C0003467,Anxiety,terrified
120,C0085633,Mood swings,bipolar
121,C0042963,Vomiting,vomiting
122,C0022107,Irritable Mood,asshole
123,C0003467,Anxiety,scared/unsure
124,C0522172,Feeling drunk,make me drunker
125,C0085633,Mood swings,mood changes
126,C0037317,Sleep disturbances,sleep problems
127,C0043094,Weight Gain,weight gain
128,C0020604,Hypochondriasis,up for 4 days
129,C0235169,Excitability,in my feelings
130,C0018834,Heartburn,heartburn
131,C0393760,Initial insomnia,#insomnia
132,C0917801,Sleeplessness,got me uppppp
133,C0344320,Vivid dreams,mad vivid dreams
134,C0006325,Bruxism,grinding my teeth
135,C0021368,Inflammation,hypertrophic scarring
136,C0085633,Mood swings,dramatic
137,C1263846,Attention deficit hyperactivity disorder,ADHD
138,C0087169,Withdrawal Symptoms,withdrawal symptoms
139,C0040822,Tremor,jitters
140,C0917799,Hypersomnia,sleep for 16 hours a day
141,C0000737,Abdominal Pain,pain in the pit of my stomach
142,C0038587,Substance Withdrawal Syndrome,cigarette withdrawal
143,,,
144,C0274714,Adrenergic syndrome,Adrenergic syndrome
145,C0018772,"Hearing Loss, Partial","Hearing Loss, Partial"
146,C0041466,Typhoid Fever,Typhoid Fever
147,C0684249,Carcinoma of lung,Carcinoma of lung
148,C0032961,Pregnancy,Pregnancy
149,C0947912,Myasthenias,Myasthenias
150,C0003578,Apnea,Apnea
151,C1328504,Hormone-refractory prostate cancer,Hormone-refractory prostate cancer
152,C0332601,Cushingoid facies,Cushingoid facies
153,C0027726,Nephrotic Syndrome,Nephrotic Syndrome
154,C0600125,Electrocardiogram PR prolongation,Electrocardiogram PR prolongation
155,C0027720,Nephrosis,Nephrosis
156,C0043352,Xerostomia,Xerostomia
157,C0393761,Middle insomnia,Middle insomnia
158,C0236826,Expressive language disorder,Expressive language disorder
159,C0231835,Tachypnea,Tachypnea
160,C0740425,Altered Taste,Altered Taste
161,C0232831,Hyposthenuria,Hyposthenuria
162,C0854530,Human herpesvirus 6 infection,Human herpesvirus 6 infection
163,C0080274,Urinary Retention,Urinary Retention
164,C0271298,Chemosis,Chemosis
165,C0012359,Pathological Dilatation,Pathological Dilatation
166,C0271051,Macular retinal edema,Macular retinal edema
167,C1320474,Nuchal Rigidity,Nuchal Rigidity
168,C0235240,Pounding heart,Pounding heart
169,C0027651,Neoplasms,Neoplasms
170,C0002170,Alopecia,Alopecia
171,C0428977,Bradycardia,Bradycardia
172,C0852388,Visual colour distortions,Visual colour distortions
173,C0032781,Posterior rhinorrhea,Posterior rhinorrhea
174,C1527407,Eosinophilic Pneumonia,Eosinophilic Pneumonia
175,C0151934,Hypogeusia,Hypogeusia
176,C0009443,Common Cold,Common Cold
177,C0151936,Tendon disorder,Tendon disorder
178,C0151937,Tendon rupture,Tendon rupture
179,C0038454,Cerebrovascular accident,Cerebrovascular accident
180,C0038450,Stridor,Stridor
181,C0151752,FEMALE LACTATION,FEMALE LACTATION
182,C0035258,Restless Legs Syndrome,Restless Legs Syndrome
183,C0151205,Periorbital oedema,Periorbital oedema
184,C0031190,Persistent Fetal Circulation Syndrome,Persistent Fetal Circulation Syndrome
185,C3665418,Labile hypertension,Labile hypertension
186,C0041601,Ulna Fractures,Ulna Fractures
187,C0235025,Peripheral motor neuropathy,Peripheral motor neuropathy
188,C0023434,Chronic Lymphocytic Leukemia,Chronic Lymphocytic Leukemia
189,C0856623,Orofacial oedema,Orofacial oedema
190,C0151686,Growth retardation,Growth retardation
191,C1527311,Brain Edema,Brain Edema
192,C0151689,Hair discoloration,Hair discoloration
193,C0235750,Hypertension worsened,Hypertension worsened
194,C0011849,Diabetes Mellitus,Diabetes Mellitus
195,C0006277,Bronchitis,Bronchitis
196,C0085740,Mendelson Syndrome,Mendelson Syndrome
197,C0016053,Fibromyalgia,Fibromyalgia
198,C0278106,Ejaculation failure,Ejaculation failure
199,C0020569,Salivary gland enlargement,Salivary gland enlargement
200,C0233973,Painful erection,Painful erection
201,C0020564,Hypertrophy,Hypertrophy
202,C0948807,Hepatic impairment,Hepatic impairment
203,C0848309,Rhinitis perennial,Rhinitis perennial
204,C0038587,Substance Withdrawal Syndrome,Substance Withdrawal Syndrome
205,C0233407,Disorientation,Disorientation
206,C0233401,Psychiatric symptom,Psychiatric symptom
207,C0003028,Anhidrosis,Anhidrosis
208,C0027080,Myoglobinuria,Myoglobinuria
209,C0855227,Purging,Purging
210,C0427108,General unsteadiness,General unsteadiness
211,C1112709,Non-gonococcal urethritis (NGU),Non-gonococcal urethritis (NGU)
212,C0085692,Cystitis haemorrhagic,Cystitis haemorrhagic
213,C1956346,Coronary Artery Disease,Coronary Artery Disease
214,C0546947,Choking sensation,Choking sensation
215,C0030552,Paresis,Paresis
216,C0424109,Weepiness,Weepiness
217,C0030554,Paresthesia,Paresthesia
218,C0278079,Dependence psychological,Dependence psychological
219,C0037672,Somnambulism,Somnambulism
220,C0854069,Tumor pain,Tumor pain
221,C0149756,"Fasciitis, Plantar","Fasciitis, Plantar"
222,C3203661,Bilirubin total low,Bilirubin total low
223,C0086981,Sicca Syndrome,Sicca Syndrome
224,C0233571,Excitement emotion,Excitement emotion
225,C0023890,Liver Cirrhosis,Liver Cirrhosis
226,C0023895,Liver diseases,Liver diseases
227,C0221423,Illness (finding),Illness (finding)
228,C0030486,Paraplegia,Paraplegia
229,C0234376,Action Tremor,Action Tremor
230,C0040896,Trichinellosis,Trichinellosis
231,C0541832,Chromaturia,Chromaturia
232,C0423153,Lacrimation,Lacrimation
233,C0235807,Hair texture abnormal,Hair texture abnormal
234,C0851341,Infestation,Infestation
235,C0549209,Feeling jittery,Feeling jittery
236,C0019557,Hip Fractures,Hip Fractures
237,C0030318,Panic,Panic
238,C0030319,Panic Disorder,Panic Disorder
239,C0575090,Equilibration disorder,Equilibration disorder
240,C0030312,Pancytopenia,Pancytopenia
241,C0751295,Memory Loss,Memory Loss
242,C1257843,Pseudomembranous colitis,Pseudomembranous colitis
243,C0011206,Delirium,Delirium
244,C0021167,Incontinence,Incontinence
245,C0233754,Derealization,Derealization
246,C0340238,Infectious disorder of bronchus,Infectious disorder of bronchus
247,C0854082,Blood prolactin increased,Blood prolactin increased
248,C0024440,"Macular Edema, Cystoid","Macular Edema, Cystoid"
249,C0020701,Hysteria,Hysteria
250,C0000727,"Abdomen, Acute","Abdomen, Acute"
251,C0262405,Brain dysfunction,Brain dysfunction
252,C0000729,Abdominal Cramps,Abdominal Cramps
253,C0522172,Feeling drunk,Feeling drunk
254,C0024282,Lymphocytosis,Lymphocytosis
255,C0231837,Respiratory rate decreased,Respiratory rate decreased
256,C0005758,Bulla,Bulla
257,C0235939,Crying abnormal,Crying abnormal
258,C0349410,Organ failure,Organ failure
259,C0019158,Hepatitis,Hepatitis
260,C0854303,Limb discomfort,Limb discomfort
261,C0549250,Jaw stiffness,Jaw stiffness
262,C0549253,Bladder dilatation,Bladder dilatation
263,C0549259,Anxiety aggravated,Anxiety aggravated
264,C0019156,Hepatic Veno-Occlusive Disease,Hepatic Veno-Occlusive Disease
265,C0042256,Vaginal itching,Vaginal itching
266,C0743300,Urine drug screen positive,Urine drug screen positive
267,C0041296,Tuberculosis,Tuberculosis
268,C0002962,Angina Pectoris,Angina Pectoris
269,C0027531,Neck Injuries,Neck Injuries
270,C0002965,"Angina, Unstable","Angina, Unstable"
271,C0033575,Prostatic Diseases,Prostatic Diseases
272,C0276141,Bronchitis viral,Bronchitis viral
273,C0549336,Asthma aggravated,Asthma aggravated
274,C0015695,Fatty Liver,Fatty Liver
275,C0043037,Common wart,Common wart
276,C0728936,Unspecified circulatory system disorder,Unspecified circulatory system disorder
277,C0037320,Night Terrors,Night Terrors
278,C0042035,Urination Disorders,Urination Disorders
279,C0154731,Glossopharyngeal Neuralgia,Glossopharyngeal Neuralgia
280,C0311468,Increased bilirubin level (finding),Increased bilirubin level (finding)
281,C0262578,Night cramps,Night cramps
282,C0010038,Corneal Opacity,Corneal Opacity
283,C0853714,Application site pruritus,Application site pruritus
284,C0853711,Sperm count decreased,Sperm count decreased
285,C0259972,Ketogenic Diet,Ketogenic Diet
286,C1263960,Diabetes with coma (disorder),Diabetes with coma (disorder)
287,C0015967,Fever,Fever
288,C0001418,Adenocarcinoma,Adenocarcinoma
289,C0236051,Tolerance development,Tolerance development
290,C0558489,Renal pain,Renal pain
291,C0241863,Diabetic,Diabetic
292,C0497201,Abnormal sensation in eye,Abnormal sensation in eye
293,C0008728,Churg-Strauss Syndrome,Churg-Strauss Syndrome
294,C0033774,Pruritus,Pruritus
295,C0162848,Lichenoid Eruptions,Lichenoid Eruptions
296,C0852711,Sickle Cell Dactylitis,Sickle Cell Dactylitis
297,C0033771,Prurigo,Prurigo
298,C0042109,Urticaria,Urticaria
299,C0033778,Pruritus Vulvae,Pruritus Vulvae
300,C0003813,Sinus Arrhythmia,Sinus Arrhythmia
301,C0003811,Cardiac Arrhythmia,Cardiac Arrhythmia
302,C0153690,Bone cancer metastatic,Bone cancer metastatic
303,C1306577,Death (finding),Death (finding)
304,C0018991,Hemiplegia,Hemiplegia
305,C0438717,Transaminases increased,Transaminases increased
306,C0017086,Gangrene,Gangrene
307,C0003486,Aortic Aneurysm,Aortic Aneurysm
308,C0857980,Serum prolactin increased,Serum prolactin increased
309,C0240327,"Taste, Metallic","Taste, Metallic"
310,C0040213,Tietze's Syndrome,Tietze's Syndrome
311,C0521495,Application site rash,Application site rash
312,C0521490,Application site irritation,Application site irritation
313,C0521491,Application site pain,Application site pain
314,C0001511,Tissue Adhesions,Tissue Adhesions
315,C0600139,Prostate carcinoma,Prostate carcinoma
316,C0206669,Hepatocellular Adenoma,Hepatocellular Adenoma
317,C0234975,Convulsions aggravated,Convulsions aggravated
318,C0206063,Radiation Pneumonitis,Radiation Pneumonitis
319,C0206062,"Lung Diseases, Interstitial","Lung Diseases, Interstitial"
320,C0206061,"Pneumonia, Interstitial","Pneumonia, Interstitial"
321,C0032227,Pleural effusion disorder,Pleural effusion disorder
322,C0003962,Ascites,Ascites
323,C1264613,Gastrointestinal infection,Gastrointestinal infection
324,C0232807,Function kidney decreased,Function kidney decreased
325,C2939420,Metastatic Neoplasm,Metastatic Neoplasm
326,C0037822,Speech Disorders,Speech Disorders
327,C0009760,Conjunctival haemorrhage,Conjunctival haemorrhage
328,C0003708,Arachnoiditis,Arachnoiditis
329,C1536459,Nettle rash,Nettle rash
330,C0231230,Fatigability,Fatigability
331,C0235234,Dry throat,Dry throat
332,C0009450,Communicable Diseases,Communicable Diseases
333,C0012833,Dizziness,Dizziness
334,C0428974,Supraventricular arrhythmia,Supraventricular arrhythmia
335,C0852911,Blood alkaline phosphatase increased,Blood alkaline phosphatase increased
336,C0852913,Blood amylase increased,Blood amylase increased
337,C0600228,Cardiopulmonary Arrest,Cardiopulmonary Arrest
338,C0035243,Respiratory Tract Infections,Respiratory Tract Infections
339,C1291077,Abdominal bloating,Abdominal bloating
340,C1291078,Epigastric discomfort,Epigastric discomfort
341,C0151740,Intracranial Hypertension,Intracranial Hypertension
342,C0151746,Kidney function abnormal,Kidney function abnormal
343,C0151744,Myocardial Ischemia,Myocardial Ischemia
344,C0013298,Duodenitis,Duodenitis
345,C0029442,Osteomalacia,Osteomalacia
346,C0029443,Osteomyelitis,Osteomyelitis
347,C0029445,Bone necrosis,Bone necrosis
348,C0003635,Apraxias,Apraxias
349,C0006285,Bronchopneumonia,Bronchopneumonia
350,C0006846,Cutaneous Candidiasis,Cutaneous Candidiasis
351,C0151691,High density lipoprotein decreased,High density lipoprotein decreased
352,C0151692,Impaired healing,Impaired healing
353,C0151694,Hemorrhage of colon,Hemorrhage of colon
354,C1325847,Sensitisation,Sensitisation
355,C0235347,Black hairy tongue,Black hairy tongue
356,C2242583,Acute liver injury,Acute liver injury
357,C0007642,Cellulitis,Cellulitis
358,C0876994,Cardiotoxicity,Cardiotoxicity
359,C0007398,Catatonia,Catatonia
360,C0006266,Bronchial Spasm,Bronchial Spasm
361,C0427008,Stiffness,Stiffness
362,C0011053,Deafness,Deafness
363,C0040409,Tongue Diseases,Tongue Diseases
364,C0029191,Orchitis,Orchitis
365,C0151541,Capillary fragility increased,Capillary fragility increased
366,C0520893,Localized desquamation,Localized desquamation
367,C0520459,"Enterocolitis, Necrotizing","Enterocolitis, Necrotizing"
368,C0858899,Attention concentration difficulty,Attention concentration difficulty
369,C0149922,Lichen Simplex Chronicus,Lichen Simplex Chronicus
370,C0855217,Lack of spontaneous speech,Lack of spontaneous speech
371,C0014547,"Epilepsies, Partial","Epilepsies, Partial"
372,C0041105,Trismus,Trismus
373,C0027092,Myopia,Myopia
374,C0235165,Mania acute,Mania acute
375,C0344320,Vivid dreams,Vivid dreams
376,C0235168,Nervous tremulousness,Nervous tremulousness
377,C0235169,Excitability,Excitability
378,C0242362,"Disk, Herniated","Disk, Herniated"
379,C2363722,Steroid psychosis,Steroid psychosis
380,C0034074,Pulmonary Infarction,Pulmonary Infarction
381,C0151754,Lactic dehydrogenase activity increased,Lactic dehydrogenase activity increased
382,C0034040,Puerperal Disorders,Puerperal Disorders
383,C0424448,Mask-like facies,Mask-like facies
384,C0149725,Lower respiratory tract infection,Lower respiratory tract infection
385,C0278008,Change of bowel habit,Change of bowel habit
386,C0031542,Phlebitis,Phlebitis
387,C0392185,Verbal repetition,Verbal repetition
388,C0085641,Pustular rash,Pustular rash
389,C0233697,Obsessions,Obsessions
390,C0750197,Sustained ventricular tachycardia,Sustained ventricular tachycardia
391,C0029261,Orgasmic Disorder,Orgasmic Disorder
392,C0343863,Genital candidiasis,Genital candidiasis
393,C0020175,Hunger,Hunger
394,C0234369,Trembling,Trembling
395,C0235763,Psoriasis flare-up,Psoriasis flare-up
396,C0235761,Perforation of nasal septum,Perforation of nasal septum
397,C0162565,Acute intermittent porphyria,Acute intermittent porphyria
398,C0541820,Carbohydrate tolerance decreased,Carbohydrate tolerance decreased
399,C0235834,Upper motor neurone lesion,Upper motor neurone lesion
400,C0851353,Blood and lymphatic system disorders,Blood and lymphatic system disorders
401,C0860703,Serum total protein decreased,Serum total protein decreased
402,C0851354,Ear and labyrinth disorders,Ear and labyrinth disorders
403,C0030305,Pancreatitis,Pancreatitis
404,C0876973,Lung infection,Lung infection
405,C0876975,Pruritus NEC,Pruritus NEC
406,C0442886,Secondary Infections,Secondary Infections
407,C0027697,Nephritis,Nephritis
408,C0000731,Abdomen distended,Abdomen distended
409,C0000737,Abdominal Pain,Abdominal Pain
410,C0270736,Essential Tremor,Essential Tremor
411,C0004610,Bacteremia,Bacteremia
412,C0429097,QRS complex,QRS complex
413,C0036689,Pharyngitis streptococcal,Pharyngitis streptococcal
414,C0036337,Schizoaffective Disorder,Schizoaffective Disorder
415,C0853891,Tumour flare,Tumour flare
416,C0235901,Lacrimation abnormal,Lacrimation abnormal
417,C0152009,WBC abnormal,WBC abnormal
418,C0039520,Tenosynovitis,Tenosynovitis
419,C0877237,Traumatic fracture,Traumatic fracture
420,C0549249,Depressed Level of Consciousness,Depressed Level of Consciousness
421,C1868709,Activation syndrome,Activation syndrome
422,C0041912,Upper Respiratory Infections,Upper Respiratory Infections
423,C1956089,Osteophyte,Osteophyte
424,C0155067,Corneal ulcer marginal,Corneal ulcer marginal
425,C0392162,Clammy skin,Clammy skin
426,C0392163,Corneal erosion,Corneal erosion
427,C0015371,Extrapyramidal Disorders,Extrapyramidal Disorders
428,C0234987,Dizziness postural,Dizziness postural
429,C0015376,Extravasation,Extravasation
430,C0242979,Muscle Fatigue,Muscle Fatigue
431,C0240182,Leukonychia,Leukonychia
432,C0036202,Sarcoidosis,Sarcoidosis
433,C0001396,Adams-Stokes Syndrome,Adams-Stokes Syndrome
434,C0522178,Self-injurious ideation,Self-injurious ideation
435,C0522179,Fear of death,Fear of death
436,C0438235,Liver function test normal,Liver function test normal
437,C0242225,Color blindness,Color blindness
438,C0042029,Urinary tract infection,Urinary tract infection
439,C0277890,Decreased diastolic arterial pressure,Decreased diastolic arterial pressure
440,C0038325,Stevens-Johnson Syndrome,Stevens-Johnson Syndrome
441,C0026857,Musculoskeletal Diseases,Musculoskeletal Diseases
442,C0042024,Urinary Incontinence,Urinary Incontinence
443,C0042023,Increased frequency of micturition,Increased frequency of micturition
444,C0541799,Bad taste,Bad taste
445,C0541798,Early Awakening,Early Awakening
446,C0005741,Blepharitis,Blepharitis
447,C0024121,Lung Neoplasms,Lung Neoplasms
448,C0005747,Blepharospasm,Blepharospasm
449,C0577559,Mass of body structure,Mass of body structure
450,C0013687,Effusion,Effusion
451,C0018188,Granuloma,Granuloma
452,C0021845,Intestinal Perforation,Intestinal Perforation
453,C0021843,Intestinal Obstruction,Intestinal Obstruction
454,C0236024,Pharyngeal oedema,Pharyngeal oedema
455,C0234930,Skin odour abnormal,Skin odour abnormal
456,C2607914,Allergic rhinitis (disorder),Allergic rhinitis (disorder)
457,C0236023,Periodontal destruction,Periodontal destruction
458,C3248383,Logorrhoea,Logorrhoea
459,C0232744,Function liver decreased,Function liver decreased
460,C0263540,Onychomadesis,Onychomadesis
461,C0036117,Salmonella infections,Salmonella infections
462,C0577730,Family stress,Family stress
463,C0205204,Scab,Scab
464,C0853879,Invasive Breast Carcinoma,Invasive Breast Carcinoma
465,C1519353,Skin Papule,Skin Papule
466,C0877167,Psychomotor skills impaired,Psychomotor skills impaired
467,C0008049,Chickenpox,Chickenpox
468,C0151723,Hypomagnesaemia,Hypomagnesaemia
469,C0022548,Keloid,Keloid
470,C0858603,Wave slowing,Wave slowing
471,C0022893,Labyrinthitis,Labyrinthitis
472,C0022890,Labyrinthine disorder,Labyrinthine disorder
473,C0858357,Oesophageal stenosis acquired,Oesophageal stenosis acquired
474,C1565662,Acute Kidney Insufficiency,Acute Kidney Insufficiency
475,C0936223,Prostate cancer metastatic,Prostate cancer metastatic
476,C1140680,Malignant neoplasm of ovary,Malignant neoplasm of ovary
477,C0518988,Tooth abscess,Tooth abscess
478,C0178829,Reproductive system disorder,Reproductive system disorder
479,C0026650,Movement Disorders,Movement Disorders
480,C0409974,Lupus Erythematosus,Lupus Erythematosus
481,C0877792,"Sleep Disorders, Circadian Rhythm","Sleep Disorders, Circadian Rhythm"
482,C0234967,Choreoathetoid movements,Choreoathetoid movements
483,C0522351,Positional Vertigo,Positional Vertigo
484,C0032231,Pleurisy,Pleurisy
485,C0032541,Polyneuritis,Polyneuritis
486,C0334246,Metastatic squamous cell carcinoma,Metastatic squamous cell carcinoma
487,C0038814,Sunburn,Sunburn
488,C0262431,Spinal compression fracture,Spinal compression fracture
489,C0151598,Drug level decreased,Drug level decreased
490,C0151599,Drug level increased,Drug level increased
491,C0028850,Ocular Motility Disorders,Ocular Motility Disorders
492,C0151596,Tongue discolouration,Tongue discolouration
493,C0151594,Diarrhoea haemorrhagic,Diarrhoea haemorrhagic
494,C0455204,Homicidal ideation,Homicidal ideation
495,C0002390,Extrinsic allergic alveolitis,Extrinsic allergic alveolitis
496,C0085624,Burning sensation,Burning sensation
497,C0002395,Alzheimer's Disease,Alzheimer's Disease
498,C0011848,Diabetes Insipidus,Diabetes Insipidus
499,C1760428,Suicidal behaviour,Suicidal behaviour
500,C0009421,Comatose,Comatose
501,C0017672,Glossalgia,Glossalgia
502,C0151629,Fixed eruption,Fixed eruption
503,C0151911,Generalized Spasms,Generalized Spasms
504,C0013537,Eclampsia,Eclampsia
505,C0035309,Retinal Diseases,Retinal Diseases
506,C0877225,Bone density decreased,Bone density decreased
507,C0231218,Malaise,Malaise
508,C0151779,Cutaneous Melanoma,Cutaneous Melanoma
509,C0151775,Injection site mass,Injection site mass
510,C0151772,Manic psychosis,Manic psychosis
511,C0151773,Bone marrow depression,Bone marrow depression
512,C0029453,Osteopenia,Osteopenia
513,C0854467,Myelosuppression,Myelosuppression
514,C0029456,Osteoporosis,Osteoporosis
515,C1269683,Major Depressive Disorder,Major Depressive Disorder
516,C0030807,Pemphigus,Pemphigus
517,C0241060,Cyst of skin,Cyst of skin
518,C0030805,Bullous pemphigoid,Bullous pemphigoid
519,C0023418,Leukemia,Leukemia
520,C0235353,Tooth caries aggravated,Tooth caries aggravated
521,C0235351,Ulcer on tongue,Ulcer on tongue
522,C0919924,Pulmonary toxicity,Pulmonary toxicity
523,C0009088,Cluster Headache,Cluster Headache
524,C2225524,Macromastia,Macromastia
525,C0031046,Pericarditis,Pericarditis
526,C0159321,Facial bones fracture,Facial bones fracture
527,C0007384,Cataplexy,Cataplexy
528,C0030794,Pelvic Pain,Pelvic Pain
529,C0020542,Pulmonary Hypertension,Pulmonary Hypertension
530,C0012797,Diuresis,Diuresis
531,C0016034,Breast Fibrocystic Disease,Breast Fibrocystic Disease
532,C0020546,Hypertensive crisis,Hypertensive crisis
533,C0040479,Torsades de Pointes,Torsades de Pointes
534,C0020545,"Hypertension, Renovascular","Hypertension, Renovascular"
535,C0392171,Influenza-like symptoms,Influenza-like symptoms
536,C0003044,Animal bite,Animal bite
537,C0393760,Initial insomnia,Initial insomnia
538,C0027066,Myoclonus,Myoclonus
539,C0006384,Bundle-Branch Block,Bundle-Branch Block
540,C0149931,Migraine Disorders,Migraine Disorders
541,C0520463,Chronic active hepatitis,Chronic active hepatitis
542,C0751901,"Tic, Vocal","Tic, Vocal"
543,C0751900,"Tic, Motor","Tic, Motor"
544,C1696943,Hypoaesthesia facial,Hypoaesthesia facial
545,C0332575,Redness,Redness
546,C0016927,Gagging,Gagging
547,C0034065,Pulmonary Embolism,Pulmonary Embolism
548,C2363731,Oropharyngeal pain,Oropharyngeal pain
549,C0860661,Oppositional,Oppositional
550,C1740801,Exaggerated startle response,Exaggerated startle response
551,C1145670,Respiratory Failure,Respiratory Failure
552,C0221392,Atrophic Vaginitis,Atrophic Vaginitis
553,C0392197,Physiologic warmth,Physiologic warmth
554,C0149732,Muscle rupture,Muscle rupture
555,C0029077,"Ophthalmia, Sympathetic","Ophthalmia, Sympathetic"
556,C0085655,Polymyositis,Polymyositis
557,C0264907,Mobitz type I incomplete atrioventricular block,Mobitz type I incomplete atrioventricular block
558,C0221150,Odynophagia,Odynophagia
559,C0423791,Rash maculo-papular,Rash maculo-papular
560,C0221155,Systolic hypertension,Systolic hypertension
561,C0423798,Increased tendency to bruise,Increased tendency to bruise
562,C0233514,Abnormal behavior,Abnormal behavior
563,C0423006,Discharge from eye,Discharge from eye
564,C0853084,High density lipoprotein increased,High density lipoprotein increased
565,C0558919,Stress at work,Stress at work
566,C0235774,Somnolence neonatal,Somnolence neonatal
567,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent","Diabetes Mellitus, Non-Insulin-Dependent"
568,C0160390,Liver injury,Liver injury
569,C0235827,Therapeutic response decreased,Therapeutic response decreased
570,C0234428,Consciousness abnormal,Consciousness abnormal
